epoch,train_loss,val_loss,macro_dice,selection_score,majority_deficit,macro_iou,lr,Tumour_dice,Tumour_iou,Stroma_dice,Stroma_iou,Inflammatory_dice,Inflammatory_iou,Necrosis_dice,Necrosis_iou,Others_dice,Others_iou
1,0.36307279710494944,0.5153276880514994,0.7054959740585476,0.7054959740585476,0.0,0.5552449411980952,9.984740801978984e-05,0.8432918653739626,0.7290446398101954,0.7261942461885766,0.5700981048450215,0.775302394025793,0.633056184844148,0.6469805808935497,0.4781753844455708,0.5357107838108555,0.36585039204554026
2,0.31569044828245346,0.49520571939237823,0.7329654422883415,0.7329654422883415,0.0,0.5879043186514301,9.939057285945931e-05,0.8488132435733546,0.7373375682396861,0.7515897304690451,0.6020374461926107,0.7940435111843598,0.6584346272427983,0.7182693188239996,0.5603902047230239,0.5521114073909483,0.3813217468590316
3,0.29809577299936396,0.5014792626829139,0.7266484627752459,0.7266484627752459,0.0,0.5806914818880328,9.863231105968498e-05,0.8474793751855765,0.7353268626511874,0.741236528280035,0.5888608502971688,0.7883439299546847,0.6506334177199321,0.719461582621113,0.5618430285705658,0.5367208978348204,0.36679325020130965
4,0.2835430385780707,0.5054984560089906,0.7218715675162505,0.7218715675162505,0.0,0.5753562912063817,9.75772975566101e-05,0.8454408593718629,0.7322629301708193,0.7487762757565469,0.5984351649096896,0.7894772112327886,0.6521787268761682,0.6957185800407487,0.533411401400232,0.5299449111793054,0.36049323267499933
5,0.2777009936179409,0.5087665492953735,0.7280392357170598,0.7280392357170598,0.0,0.5817536328298121,9.623203685930868e-05,0.8478229899367216,0.7358443906897243,0.7501941832804392,0.6002485932170792,0.7884943207518623,0.6508383198345411,0.7023844549528636,0.5412885639616388,0.5513002296634119,0.38054829644607713
6,0.2666093441598107,0.5056034120733417,0.7286890544263847,0.7286890544263847,0.0,0.5819838401199283,9.46048229473242e-05,0.8467624144579626,0.734248020593235,0.7392409417627606,0.5863459294088658,0.7885203346694416,0.6508737680333164,0.710892364600148,0.5514608284665427,0.5580292166416105,0.38699065409768235
7,0.2593011774366475,0.5371589441598721,0.7395556202953356,0.7395556202953356,0.0,0.5943800513830769,9.270568813552755e-05,0.8447660871074176,0.7312511151894887,0.7346794132137909,0.580627092363845,0.7792258912828358,0.6383047328073465,0.7639396859568071,0.6180440204070107,0.5751670239158266,0.4036732961476939
8,0.25084471852011225,0.5392823627853132,0.7348207703441456,0.7348207703441456,0.0,0.5898728526485322,9.054634122155989e-05,0.8493243532354137,0.7381092626957929,0.7534771327896486,0.6044631451293695,0.7841126534552837,0.6448892289927673,0.7332187073519925,0.5788044957778892,0.5539710048883898,0.38309813064684234
9,0.24178748289030444,0.5317989103716506,0.736297588007487,0.736297588007487,0.0,0.591473448719235,8.814009529720152e-05,0.8492346911878675,0.7379738376580735,0.749574802921143,0.5994559328076876,0.7845285272454362,0.6454520281479725,0.7402585644726339,0.5876273841566061,0.5578913542103543,0.38685806082583574
10,0.23631580080704534,0.5442851832166428,0.7337587955596395,0.7337587955596395,0.0,0.5888610541648798,8.550178566873408e-05,0.84902092639125,0.7376510536627322,0.7478132581520511,0.5972058584875648,0.7771973111868287,0.6355868516621938,0.7485454526248053,0.5981403433267373,0.5462170294432623,0.37572116368517117
11,0.2298288029296639,0.5265286522819043,0.7333337945246129,0.7333337945246129,0.0,0.5875089826899286,8.264767839234409e-05,0.8451722022006138,0.7318599394742271,0.7427989977976782,0.5908355119797616,0.7883037767990035,0.6505787190757296,0.7307191276589731,0.5756953749025263,0.5596748681667953,0.38857536801739834
12,0.22521634045908834,0.5729888777987794,0.7338868240452158,0.7338868240452158,0.0,0.5885395427133767,7.959536998847741e-05,0.8481351803894356,0.7363148573946225,0.7462418123078101,0.5952039393508789,0.7759289150546658,0.6338920382955686,0.7463093412894083,0.5952898636550263,0.5528188711847587,0.3819970148707874
13,0.21965583379394976,0.562717263521477,0.7315823357042173,0.7315823357042173,0.0,0.5852398828660225,7.636367895343945e-05,0.847700665338499,0.7356601187203836,0.752200639446367,0.602821786278705,0.7849400851261611,0.6460093658901277,0.7076642531366658,0.5475854512685719,0.5654060354733939,0.39412269217232426
14,0.21657629483306562,0.5455247113766151,0.7393551656061563,0.7393551656061563,0.0,0.594769322997541,7.297252973710755e-05,0.8467882005077108,0.7342867987307413,0.7499741987558277,0.5999669750891264,0.785407978271823,0.6466434524691745,0.7487113898428523,0.5983522776162908,0.565894060652568,0.3945971110823719
15,0.2118472711873343,0.5590499999695981,0.7276823849049092,0.7276823849049092,0.0,0.5810059090581531,6.944282990207194e-05,0.84829373858158,0.7365539000689613,0.7496704775381671,0.5995783224106436,0.7818515177863627,0.6418359741872935,0.7046614666753959,0.5439979191129428,0.5539347239430401,0.383063429510924
