epoch,train_loss,val_loss,macro_dice,macro_dice_ema,macro_iou,lr,Tumour_dice,Tumour_iou,Stroma_dice,Stroma_iou,Inflammatory_dice,Inflammatory_iou,Necrosis_dice,Necrosis_iou,Others_dice,Others_iou
1,0.33008843613401284,0.61428728452801,0.7200343793157366,0.7200343793157366,0.57096786520691,9.984740801978984e-05,0.8465709017821396,0.7339600700989413,0.7250450875130012,0.5686829239307666,0.7783105694918637,0.6370772718956419,0.6862831512417653,0.5223980737481301,0.563962186549913,0.3927209863610705
2,0.27057427259516664,0.6143140322509099,0.7167692502717475,0.7167692502717475,0.570062888436029,9.939057285945931e-05,0.8482702955067688,0.7365185530922929,0.7344491576562929,0.58033951152539,0.7850868849448085,0.6462082557312285,0.7037078788580738,0.542862112158921,0.5123320343927933,0.3443860096723128
3,0.25058945897371554,0.629120958098293,0.7159369157438051,0.7159369157438051,0.5678043924469373,9.863231105968498e-05,0.8494519478809675,0.7383020173007823,0.7483278131659131,0.5978624603449035,0.7811545809902413,0.6408971710497007,0.6530372802224877,0.4848220894564585,0.547712956459416,0.3771382240828414
4,0.24183668100990405,0.6460570891530254,0.7079328079709042,0.7079328079709042,0.5590118914030308,9.75772975566101e-05,0.8470461039872003,0.7346747401752104,0.7395004519918176,0.5866725245243936,0.7808392011124015,0.6404726938602884,0.6399681383924198,0.47055378367089645,0.5323101443706816,0.3626857147843655
5,0.23137221182788226,0.6486593692965762,0.7212554373373862,0.7212554373373862,0.5728792865874469,9.623203685930868e-05,0.8454783661685727,0.7323192059751576,0.7409913976432237,0.5885514969922679,0.7809745268608735,0.6406548050630781,0.6797576925230185,0.5148734354847739,0.559075203491242,0.3879974894219567
6,0.2227849796055704,0.655073459659304,0.7172853424600244,0.7172853424600244,0.5695083439144002,9.46048229473242e-05,0.8488464329076716,0.737387658061776,0.7496553957527125,0.5995590281320947,0.7775508632385197,0.6360598898195571,0.672863247438538,0.5070037026251193,0.5375107729626798,0.36753144093345413
7,0.21711735118596245,0.6713815114302647,0.702489943722252,0.702489943722252,0.5535460769983696,9.270568813552755e-05,0.843423424110358,0.7292413158736111,0.7154493594228603,0.5569646978661842,0.7901201559756756,0.6530567145804856,0.6577820325098861,0.49007094856575967,0.5056747465924809,0.33839670810580746
8,0.20937569229425435,0.6789628173069538,0.7302605363998093,0.7302605363998093,0.5846371814726352,9.054634122155989e-05,0.8465002310008165,0.7338538366030791,0.7395262972247494,0.5867050582622197,0.7812201163426276,0.6409854041882488,0.7420670411209973,0.5899098484407983,0.541988996309856,0.37173175986882967
9,0.20220195369008334,0.6729983950155021,0.7266684266960606,0.7266684266960606,0.5803631183682733,8.814009529720152e-05,0.8446902622132126,0.7311374903074697,0.7419994354533304,0.5898244057789557,0.7725703970579664,0.6294213494657352,0.7393840331641128,0.5865259941296376,0.53469800559168,0.36490635215956824
10,0.198941454177221,0.7034828890609419,0.715217212970158,0.715217212970158,0.5663503514202662,8.550178566873408e-05,0.8474974993361706,0.7353541522452408,0.7481110312575119,0.5975857683361353,0.7685978150351133,0.6241647322211222,0.6659701622084153,0.49921684158946067,0.545909557013579,0.3754302627093719
11,0.19058069497412092,0.6837356712791945,0.7069360493163694,0.7069360493163694,0.5569482684317304,8.264767839234409e-05,0.8441028822696983,0.7302577965824182,0.7361342237067118,0.5824465204411762,0.7801955641866629,0.639607088874412,0.6176889902871427,0.44685239858970177,0.5565585861316314,0.38557753767094394
12,0.18842560323016389,0.6671754077946042,0.739975049446258,0.739975049446258,0.5962249792219515,7.959536998847741e-05,0.8548114841157625,0.7464373526796454,0.7614630153018149,0.6148084592624201,0.7821113829236322,0.6421862984491545,0.7402190570332401,0.5875775952683,0.5612703078568406,0.39011519045023774
13,0.18043960245159052,0.6902398591261241,0.7377170511563096,0.7377170511563096,0.5930645395759679,7.636367895343945e-05,0.851004996328425,0.740651607369107,0.7479443072694123,0.5973730334936083,0.7809252976971603,0.6405885514825201,0.7469984483139392,0.596167217278195,0.5617122061726111,0.39054228825640924
14,0.17593858137042048,0.6974039986691833,0.7314128223206973,0.7314128223206973,0.5858834371734252,7.297252973710755e-05,0.8500602066829563,0.7392214893537393,0.7433394082601624,0.5915196299989117,0.7766193842102852,0.6348141977948237,0.7401760720320134,0.5875234273616862,0.5468690404180688,0.3763384413579655
15,0.17169499615741246,0.7046312027731289,0.7289158661332589,0.7289158661332589,0.5836395550724741,6.944282990207194e-05,0.8487581379146774,0.7372544083632121,0.7466800576401255,0.5957617304279085,0.7851816994803326,0.6463367395308851,0.729426365176605,0.574092162142175,0.5345330704545539,0.3647527348981895
16,0.16736236817368533,0.7320423498056948,0.7243660228897651,0.7243660228897651,0.5784652378639936,6.57963412215599e-05,0.8446843536375105,0.7311286368335774,0.7523742175805207,0.6030447816824258,0.771525403033367,0.6280352926616705,0.7330282053238965,0.578567106548171,0.5202179348735306,0.35155037159412406
17,0.1637926169571261,0.7323333815004699,0.7279127566421731,0.7279127566421731,0.5829401606474999,6.205554551086731e-05,0.849219173665466,0.7379504022241993,0.7549143954513441,0.6063152547049171,0.7759045770223698,0.6338595524971171,0.7351558667876759,0.5812224980801396,0.5243697702840099,0.3553530957311261
